author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,SP holder
163787662,2012-07-06 06:49:32+00:00, ,2.21134E+17,en,0,0,0,0, ,Made this Scotch tape holder for the past term for ITOE. :)   @ Singapore Polytechnic (SP) http://t.co/GwMPnwr,SP holder
205298307,2015-02-14 13:52:11+00:00, ,5.66596E+17,en,0,0,0,0, ,DTN Singapore: Bolt says will hang up spikes after London 2017: Multiple world record-holder and six-time Olym... http://t.co/BWDHl7GXnj,SP holder
566340838,2015-08-20 16:59:27+00:00, ,6.34409E+17,en,0,0,0,0, ,Any Indian WP/SP/EP holder who got a name change done in their Indian passport at Singapore?: Could you please... http://t.co/2m0BZlTOx0,SP holder
1.26295E+18,2020-05-20 03:49:29+00:00, ,1.26295E+18,en,1,0,2,0, ,"Hello, my brother Karan Seth is a First Year BBA student at SP Jain College, Singapore campus. He is a US Citizen and an OCI card holder.  Most of the students have left campus through Vande Bharat Mission. How can we get him home? @DrSJaishankar @IndiainSingapor",SP holder
962056549,2020-05-07 04:28:35+00:00, ,1.25825E+18,en,0,0,0,0, ,"@JamieAlonzo I think in Singapore, for citizens and residents, they are doing it. And if you are an EP or SP card holder, same thing. Meaning, you need to have those IDs to open a bank account.",SP holder
