author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,VTL,,,,,
7.13449E+17,2017-01-24 18:59:10+00:00, ,8.23968E+17,en,0,0,0,1, ,RT @MightyTravels: #flightdeal #businessclass Stockholm to Auckland $2264 RT with Singapore Airlines https://t.co/VIXHU1wshk All deals http‚Ä?,VTL,,,,,
1055221626,2017-01-24 18:57:09+00:00, ,8.23968E+17,en,1,0,0,1, ,#flightdeal #businessclass Stockholm to Auckland $2264 RT with Singapore Airlines https://t.co/VIXHU1wshk All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-01-19 22:15:40+00:00, ,8.22206E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Alexandria to Singapore $879 RT with Qatar Airways https://t.co/cJJIOVCpIa All deals https://‚Ä?,VTL,,,,,
1055221626,2017-01-19 22:07:20+00:00, ,8.22204E+17,en,1,0,0,2, ,#flightdeal #businessclass Alexandria to Singapore $879 RT with Qatar Airways https://t.co/cJJIOVCpIa All deals https://t.co/ob7lLxPVSD,VTL,,,,,
7.13449E+17,2017-01-12 17:48:12+00:00, ,8.19602E+17,en,0,0,0,1, ,RT @MightyTravels: #flightdeal #businessclass Alexandria to Singapore $893 RT with Qatar Airways https://t.co/cJJIOVU16K All deals https://‚Ä?,VTL,,,,,
7.13449E+17,2017-01-12 17:43:57+00:00, ,8.19601E+17,en,0,0,0,1, ,RT @MightyTravels: #flightdeal #businessclass Hamburg to Singapore $2009 RT with Turkish Airlines https://t.co/yAvQQ8VOmw All deals https:/‚Ä?,VTL,,,,,
1055221626,2017-01-12 17:30:35+00:00, ,8.19597E+17,en,1,0,0,1, ,#flightdeal #businessclass Hamburg to Singapore $2009 RT with Turkish Airlines https://t.co/yAvQQ8VOmw All deals https://t.co/ob7lLy7xhd,VTL,,,,,
1055221626,2017-01-12 17:29:51+00:00, ,8.19597E+17,en,0,0,0,1, ,#flightdeal #businessclass Berlin to Singapore $1579 RT with Qatar Airways https://t.co/YHuhWkU8PF All deals https://t.co/ob7lLy7xhd,VTL,,,,,
1055221626,2017-01-12 17:29:48+00:00, ,8.19597E+17,en,0,0,0,0, ,#flightdeal #businessclass Busan to Singapore $688 RT with Vietnam Airlines https://t.co/JuPDvKKr5E All deals https://t.co/ob7lLy7xhd,VTL,,,,,
1055221626,2017-01-12 17:29:40+00:00, ,8.19597E+17,en,1,0,0,1, ,#flightdeal #businessclass Alexandria to Singapore $893 RT with Qatar Airways https://t.co/cJJIOVU16K All deals https://t.co/ob7lLy7xhd,VTL,,,,,
