author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,border measures,,,,,,,,,
493458854,2016-08-09 15:44:18+00:00, ,7.63038E+17,en,0,0,0,9, ,"RT @RedHotSquirrel: Singapore combats human trafficking: strict border control measures, tough laws and a well-documented workforce. https:‚Ä?
631213386,2016-08-09 15:43:47+00:00, ,763038073143693312,en,0,0,0,9, ,RT @RedHotSquirrel: Singapore combats human trafficking: strict border control measures",border measures,,,,,,,,,
555370896,2016-08-09 15:38:30+00:00, ,7.63037E+17,en,8,0,1,9, ,"Singapore combats human trafficking: strict border control measures, tough laws and a well-documented workforce. https://t.co/RGWV78Thpz",border measures,,,,,,,,,
7.3327E+17,2016-08-05 15:44:38+00:00, ,7.61589E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
7.27537E+17,2016-08-05 15:33:24+00:00, ,7.61586E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
53601062,2016-08-05 14:18:57+00:00, ,7.61567E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
623799187,2016-08-05 13:05:30+00:00, ,7.61549E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
3377317894,2016-08-05 12:58:55+00:00, ,7.61547E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
793580076,2016-08-05 12:48:24+00:00, ,7.61544E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
215482949,2016-08-05 12:39:05+00:00, ,7.61542E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
266402736,2016-08-05 11:16:30+00:00, ,7.61521E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
2360357298,2016-08-05 10:58:11+00:00, ,7.61517E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
775201513,2016-08-05 10:55:45+00:00, ,7.61516E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
2648011604,2016-08-05 10:43:50+00:00, ,7.61513E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
3440810895,2016-08-05 10:41:32+00:00, ,7.61512E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
270684062,2016-08-05 09:58:45+00:00, ,7.61502E+17,en,0,0,0,0, ,Singapore steps up inland and border security measures after Indonesian police foil rocket attack plot on Marina Bay #fb,border measures,,,,,,,,,
188181255,2016-08-05 09:53:19+00:00, ,7.615E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
